task,seed,model,macro_f1,accuracy,balanced_accuracy
cmw_new_pro_vs_not_pro,7,majority,0.4752475247524752,0.9056603773584906,0.5
cmw_new_pro_vs_not_pro,7,text_logreg,0.5728937728937729,0.7924528301886793,0.6166666666666667
cmw_new_pro_vs_not_pro,7,text_mlp_oversampled,0.6847323198942499,0.8301886792452831,0.8166666666666667
cmw_new_pro_vs_not_pro,7,gcn_weighted,0.4752475247524752,0.9056603773584906,0.5
cmw_new_pro_vs_not_pro,7,graphsage_tinybert,0.4752475247524752,0.9056603773584906,0.5
cmw_new_pro_vs_not_pro,8,majority,0.4752475247524752,0.9056603773584906,0.5
cmw_new_pro_vs_not_pro,8,text_logreg,0.624113475177305,0.8490566037735849,0.6479166666666667
cmw_new_pro_vs_not_pro,8,text_mlp_oversampled,0.624113475177305,0.8490566037735849,0.6479166666666667
cmw_new_pro_vs_not_pro,8,gcn_weighted,0.42391304347826086,0.7358490566037735,0.40625
cmw_new_pro_vs_not_pro,8,graphsage_tinybert,0.4752475247524752,0.9056603773584906,0.5
cmw_new_pro_vs_not_pro,9,majority,0.4803921568627451,0.9245283018867925,0.5
cmw_new_pro_vs_not_pro,9,text_logreg,0.6931348221670802,0.8679245283018868,0.8137755102040816
cmw_new_pro_vs_not_pro,9,text_mlp_oversampled,0.6847323198942499,0.8301886792452831,0.9081632653061225
cmw_new_pro_vs_not_pro,9,gcn_weighted,0.43010752688172044,0.7547169811320755,0.40816326530612246
cmw_new_pro_vs_not_pro,9,graphsage_tinybert,0.47,0.8867924528301887,0.47959183673469385
